household,group_type,month,total_npr,expense_count,festival_intensity,festival_npr,food_npr,transport_npr
working_bachelor_1,roommates,2023-12,78020,26,0.14,13950,14620,1140
working_bachelor_1,roommates,2024-01,70995,28,0.1231,16320,7135,8160
working_bachelor_1,roommates,2024-02,52935,25,0.0593,9560,2730,6215
working_bachelor_1,roommates,2024-03,52520,29,0.2176,10550,4170,5640
working_bachelor_1,roommates,2024-04,74600,26,0.2146,5350,17950,7480
working_bachelor_1,roommates,2024-05,79410,30,0.1167,10210,17860,5400
working_bachelor_1,roommates,2024-06,58885,24,0.0258,0,13450,1035
working_bachelor_1,roommates,2024-07,54240,25,0.0129,0,6820,1900
working_bachelor_1,roommates,2024-08,35010,25,0.2025,0,7680,4010
working_bachelor_1,roommates,2024-09,80875,31,0.2475,20380,32470,1680
working_bachelor_1,roommates,2024-10,93420,37,1.28,35780,27630,11830
working_bachelor_1,roommates,2024-11,69865,26,0.48,5750,3755,5760
working_bachelor_1,roommates,2024-12,75450,27,0.14,18150,21480,1530
working_bachelor_1,roommates,2025-01,74620,29,0.1234,21570,10330,2930
working_bachelor_1,roommates,2025-02,83550,30,0.1086,19600,18360,2640
working_bachelor_1,roommates,2025-03,55250,26,0.1679,1510,5390,8420
working_bachelor_1,roommates,2025-04,69800,28,0.2746,9340,7840,7690
working_bachelor_1,roommates,2025-05,97525,30,0.0567,5140,17655,7650
working_bachelor_1,roommates,2025-06,125160,24,0.0258,0,10160,1870
working_bachelor_1,roommates,2025-07,71850,28,0.0129,0,5720,5580
working_bachelor_1,roommates,2025-08,68965,26,0.45,6460,9125,4480
working_bachelor_1,roommates,2025-09,110450,34,0.6,48500,46460,15610
working_bachelor_1,roommates,2025-10,110190,32,1.1,10280,10600,2200
working_bachelor_1,roommates,2025-11,91080,31,0.06,26640,12310,3790
working_bachelor_1,roommates,2025-12,98280,29,0.14,16950,9070,2310
working_bachelor_1,roommates,2026-01,82690,31,0.1234,18330,11570,5750
working_bachelor_1,roommates,2026-02,86070,32,0.1461,30010,23140,5640
working_bachelor_1,roommates,2026-03,110785,29,0.1304,190,25420,25
working_bachelor_1,roommates,2026-04,57465,29,0.2746,9110,4260,6075
working_bachelor_1,roommates,2026-05,78085,32,0.0567,12170,10740,3355
working_bachelor_1,roommates,2026-06,67200,25,0.0258,0,3390,2760
working_bachelor_1,roommates,2026-07,85130,28,0.0129,0,8010,15050
working_bachelor_1,roommates,2026-08,48685,28,0.08,0,3920,5715
working_bachelor_1,roommates,2026-09,87490,32,0.37,17630,22530,600
working_bachelor_2,roommates,2023-10,57930,19,1.0,4480,4190,11850
working_bachelor_2,roommates,2023-11,58770,22,0.76,22530,10470,7690
working_bachelor_2,roommates,2023-12,58165,20,0.14,18800,5420,2245
working_bachelor_2,roommates,2024-01,56825,21,0.1231,20550,8490,495
working_bachelor_2,roommates,2024-02,98820,18,0.0593,17900,10580,2920
working_bachelor_2,roommates,2024-03,60430,20,0.2176,2500,9860,7170
working_bachelor_2,roommates,2024-04,62900,20,0.2146,13170,16390,4570
working_bachelor_2,roommates,2024-05,49190,21,0.1167,3330,4980,4910
working_bachelor_2,roommates,2024-06,64870,18,0.0258,9350,15240,0
working_bachelor_2,roommates,2024-07,81860,18,0.0129,0,19390,1970
working_bachelor_2,roommates,2024-08,53360,16,0.2025,0,4740,7190
working_bachelor_2,roommates,2024-09,192640,19,0.2475,3540,23810,2420
working_bachelor_2,roommates,2024-10,100640,21,1.28,29150,23340,8710
working_bachelor_2,roommates,2024-11,64050,21,0.48,12250,10840,6440
working_bachelor_2,roommates,2024-12,68185,19,0.14,18750,16240,775
working_bachelor_2,roommates,2025-01,93160,22,0.1234,51350,18330,230
working_bachelor_2,roommates,2025-02,60435,19,0.1086,12150,8460,0
working_bachelor_2,roommates,2025-03,51500,20,0.1679,11740,11990,8930
working_bachelor_2,roommates,2025-04,64010,21,0.2746,8490,24510,8890
working_bachelor_2,roommates,2025-05,61660,22,0.0567,21600,14710,1290
working_bachelor_2,roommates,2025-06,53985,20,0.0258,12700,18925,0
working_bachelor_2,roommates,2025-07,58325,17,0.0129,0,23850,35
working_bachelor_2,roommates,2025-08,63725,18,0.45,6310,14150,890
working_bachelor_2,roommates,2025-09,68170,19,0.6,1520,4010,3450
working_bachelor_2,roommates,2025-10,68800,19,1.1,5950,5910,1950
working_bachelor_2,roommates,2025-11,269400,21,0.06,20700,3400,6600
working_bachelor_2,roommates,2025-12,79275,22,0.14,29250,2660,355
working_bachelor_2,roommates,2026-01,93435,23,0.1234,36760,22710,6845
working_bachelor_2,roommates,2026-02,88230,20,0.1461,12650,4300,2900
working_bachelor_2,roommates,2026-03,53100,21,0.1304,4450,11010,9390
working_bachelor_2,roommates,2026-04,71810,21,0.2746,13290,3030,6990
working_bachelor_2,roommates,2026-05,99985,21,0.0567,21350,25570,10255
working_bachelor_2,roommates,2026-06,71810,20,0.0258,12690,10810,6820
working_bachelor_2,roommates,2026-07,72320,17,0.0129,0,1420,7460
working_bachelor_2,roommates,2026-08,62270,16,0.08,0,2680,2020
working_bachelor_2,roommates,2026-09,52580,19,0.37,4900,5680,8740
working_bachelor_3,roommates,2023-10,180115,33,1.0,51550,49730,10575
working_bachelor_3,roommates,2023-11,111640,35,0.76,42420,32550,2650
working_bachelor_3,roommates,2023-12,92105,27,0.14,7800,4430,405
working_bachelor_3,roommates,2024-01,112510,28,0.1231,6600,5930,2400
working_bachelor_3,roommates,2024-02,70730,25,0.0593,4200,14260,9800
working_bachelor_3,roommates,2024-03,107360,32,0.2176,9490,24050,3880
working_bachelor_3,roommates,2024-04,113290,29,0.2146,12690,15080,14280
working_bachelor_3,roommates,2024-05,98430,25,0.1167,3860,3150,1110
working_bachelor_3,roommates,2024-06,89405,24,0.0258,0,4330,7595
working_bachelor_3,roommates,2024-07,73710,27,0.0129,3430,6080,9150
working_bachelor_3,roommates,2024-08,124980,26,0.2025,8360,28610,940
working_bachelor_3,roommates,2024-09,120210,28,0.2475,31040,12270,4200
working_bachelor_3,roommates,2024-10,116005,34,1.28,51770,41500,16835
working_bachelor_3,roommates,2024-11,92760,26,0.48,21850,9080,13450
working_bachelor_3,roommates,2024-12,81355,30,0.14,28100,12925,5190
working_bachelor_3,roommates,2025-01,102430,31,0.1234,44080,22150,7680
working_bachelor_3,roommates,2025-02,129580,26,0.1086,410,12670,18850
working_bachelor_3,roommates,2025-03,137340,30,0.1679,33790,61720,0
working_bachelor_3,roommates,2025-04,119420,28,0.2746,15080,24160,6900
working_bachelor_3,roommates,2025-05,96680,24,0.0567,0,1470,9110
working_bachelor_3,roommates,2025-06,102330,23,0.0258,0,14670,2780
working_bachelor_3,roommates,2025-07,90055,26,0.0129,7810,33740,5795
working_bachelor_3,roommates,2025-08,150575,33,0.45,18530,17250,12965
working_bachelor_3,roommates,2025-09,142355,31,0.6,67150,28470,9855
working_bachelor_3,roommates,2025-10,148640,33,1.1,54760,38680,10440
working_bachelor_3,roommates,2025-11,88990,27,0.06,15800,6570,10750
working_bachelor_3,roommates,2025-12,104200,27,0.14,36900,28080,6180
working_bachelor_3,roommates,2026-01,116210,30,0.1234,36950,16360,8710
working_bachelor_3,roommates,2026-02,91120,27,0.1461,16920,30420,230
working_bachelor_3,roommates,2026-03,114170,31,0.1304,22460,25390,150
working_bachelor_3,roommates,2026-04,99700,31,0.2746,23030,21180,4970
working_bachelor_3,roommates,2026-05,85540,27,0.0567,0,5000,6850
working_bachelor_3,roommates,2026-06,106150,26,0.0258,0,44330,2070
working_bachelor_3,roommates,2026-07,95320,27,0.0129,13700,28030,2580
working_bachelor_3,roommates,2026-08,84880,28,0.08,6010,28100,0
working_bachelor_3,roommates,2026-09,143600,35,0.37,46310,22860,10630
