date,description,amount_npr,category,persona,household,group_type,festival
2023-12-06,Daraz order,7600,shopping,working_bachelor,working_bachelor_3,roommates,
2023-12-07,Khanepani bill,560,utilities,family,family_1,family,
2023-12-07,Phone cover and screen guard,1320,shopping,family,family_1,family,
2023-12-07,Samosa chiya Kirtipur veg,150,food,family,family_1,family,
2023-12-07,micro to thamel,65,transport,family,family_1,family,
2023-12-07,Pizza night,1300,food,family,family_2,family,
2023-12-07,NEA bijuli bill Poush,3850,utilities,family,family_3,family,
2023-12-07,Monthly grocery,13350,food,family,family_3,family,
2023-12-07,Micro to Baneshwr,75,transport,student_hostel,student_hostel_1,roommates,
2023-12-07,mobile recharge - last month,470,utilities,student_hostel,student_hostel_3,roommates,
2023-12-07,Momo at Nanglo,180,food,trip_group,trip_group_3,trip,
2023-12-07,Tihar shopping Bhatbhateni,6650,shopping,working_bachelor,working_bachelor_1,roommates,
2023-12-07,Snacks during movie - group booking,390,entertainment,working_bachelor,working_bachelor_2,roommates,
2023-12-08,New shoes,5750,shopping,family,family_1,family,
2023-12-08,Chiya for everyone for 3 people,160,food,student_home,student_home_1,college,
2023-12-08,College bus fee return,1780,transport,student_home,student_home_3,college,
2023-12-08,Tihar shopping Civil Mall - EMI,6150,shopping,student_home,student_home_3,college,
2023-12-08,Dinner Chikusa cafe,1250,food,student_hostel,student_hostel_1,roommates,
2023-12-08,Petrol,590,transport,student_hostel,student_hostel_2,roommates,
2023-12-08,Pathao ride,110,transport,trip_group,trip_group_3,trip,
2023-12-08,Worldlink internet 3 months,1390,utilities,working_bachelor,working_bachelor_1,roommates,
2023-12-09,Ice cream - evening,110,food,student_home,student_home_3,college,
2023-12-09,Movie tickets for 4,1560,entertainment,trip_group,trip_group_3,trip,
2023-12-09,Monthly grocery,6000,food,trip_group,trip_group_3,trip,
2023-12-09,Dal bhat at Bajeko Sekuwa,320,food,working_bachelor,working_bachelor_2,roommates,
2023-12-10,NEA bijuli bill Poush advance,4400,utilities,family,family_1,family,
2023-12-10,Dinner Himalayan Java,1190,food,family,family_1,family,
2023-12-10,InDrive to Thamel,510,transport,family,family_3,family,
2023-12-10,NTC data pack,450,utilities,student_hostel,student_hostel_2,roommates,
2023-12-10,Wifi bill,970,utilities,student_hostel,student_hostel_3,roommates,
2023-12-10,Gas cylinder,3300,utilities,student_hostel,student_hostel_3,roommates,
2023-12-10,Paragliding Sarangkot for 7 people,17550,entertainment,student_hostel,student_hostel_3,roommates,
2023-12-10,Chicken 1 kg office lunch,580,food,trip_group,trip_group_2,trip,
2023-12-10,Paragliding Sarangkot,11700,entertainment,trip_group,trip_group_2,trip,
2023-12-10,Cafe bill Kalanki - evening,770,food,trip_group,trip_group_3,trip,
2023-12-10,Khaja,95,food,trip_group,trip_group_3,trip,
2023-12-10,Dinner local bhojanalaya,1790,food,working_bachelor,working_bachelor_1,roommates,
2023-12-10,Monthly bill paid paid via eSewa,11450,utilities,working_bachelor,working_bachelor_1,roommates,
2023-12-10,Concert ticket - for 4 people,2900,entertainment,working_bachelor,working_bachelor_3,roommates,
2023-12-10,Popcorn and coke at Big Movies evening show,610,entertainment,working_bachelor,working_bachelor_3,roommates,
2023-12-11,Birthday gift for Sita,2200,shopping,family,family_1,family,birthday
2023-12-11,Birthday cake for Mina with Bikash,870,food,family,family_1,family,birthday
2023-12-11,Birthday cake for Anisha,2200,food,family,family_1,family,birthday
2023-12-11,Airport taxi airport drop,960,transport,family,family_2,family,
2023-12-11,NEA bijuli bill Poush,3500,utilities,family,family_3,family,
2023-12-11,Breakfast,500,food,student_home,student_home_1,college,
2023-12-11,Ncell combo 399,750,utilities,student_home,student_home_2,college,
2023-12-11,Khaja takeaway,100,food,student_home,student_home_3,college,
2023-12-11,Water jar half plate,210,food,student_hostel,student_hostel_1,roommates,
2023-12-11,anteen lunch at college takeaway,230,food,student_hostel,student_hostel_2,roommates,
2023-12-11,Ice cream Saturday,150,food,student_hostel,student_hostel_3,roommates,
2023-12-11,Buff momo Lagankhel,120,food,trip_group,trip_group_1,trip,
2023-12-11,POPCORN AND COKE AT BIG MOVIES FOR 3 PEOPLE,690,entertainment,trip_group,trip_group_1,trip,
2023-12-11,Resort Bandipur per night,11900,hotel,trip_group,trip_group_2,trip,
2023-12-11,Fruits for Dashain tika Saturday,1910,food,trip_group,trip_group_2,trip,
2023-12-11,pool and snooker evening show,1440,entertainment,working_bachelor,working_bachelor_3,roommates,
2023-12-12,Breakfast office lunch,360,food,family,family_2,family,
2023-12-12,Chicken moo plate,190,food,working_bachelor,working_bachelor_1,roommates,
2023-12-12,Laundry urgent,590,other,working_bachelor,working_bachelor_1,roommates,
2023-12-12,winter blanket emi,5050,shopping,working_bachelor,working_bachelor_1,roommates,
2023-12-13,Wifi bill,1200,utilities,family,family_1,family,
2023-12-13,NEA bijuli bill Poush - shared 3 ways,2450,utilities,family,family_2,family,
2023-12-13,Samosa chiya Patan for 2 people,110,food,family,family_2,family,
2023-12-13,Chicken momo plate,250,food,family,family_3,family,
2023-12-13,Kitchen utensils,3750,shopping,student_home,student_home_1,college,
2023-12-13,Thakali khana set Bouddha,540,food,student_home,student_home_1,college,
2023-12-13,Birthda gift for bhai,4000,shopping,student_home,student_home_2,college,birthday
2023-12-13,Birthday party dinner veg,4450,food,student_home,student_home_2,college,birthday
2023-12-13,Medicine from pharmacy cash,750,other,student_hostel,student_hostel_1,roommates,
2023-12-13,hotel dinner bandipur,2600,food,student_hostel,student_hostel_3,roommates,
2023-12-13,Trip contribution shared,2500,transport,trip_group,trip_group_1,trip,
2023-12-13,Samosa chiya Jhamsikhel,240,food,working_bachelor,working_bachelor_2,roommates,
2023-12-13,Hotel dinner Nagarkot,1630,food,working_bachelor,working_bachelor_3,roommates,
2023-12-13,Dashain shopping - for home,11150,shopping,working_bachelor,working_bachelor_3,roommates,
2023-12-13,Dal bhat at Bajeko Sekuwa,580,food,working_bachelor,working_bachelor_3,roommates,
2023-12-13,College bus fee,3450,education,working_bachelor,working_bachelor_3,roommates,
2023-12-14,Buff momo Balkhu evening,170,food,family,family_1,family,
2023-12-14,WATER JAR,70,food,family,family_2,family,
2023-12-14,School fee for Bikash late fee included,9000,education,family,family_3,family,
2023-12-14,Spotify family,430,entertainment,student_home,student_home_1,college,
2023-12-14,buff momo balkhu,140,food,student_home,student_home_2,college,
2023-12-14,Deluxe bus ticket to Dhulikhel,1930,transport,student_home,student_home_2,college,
2023-12-14,Ice cream,330,food,student_hostel,student_hostel_1,roommates,
2023-12-14,Snacks during movie - extra chutney,420,food,student_hostel,student_hostel_2,roommates,
2023-12-14,Popcorn and coke at Jai Nepal group booking,550,entertainment,trip_group,trip_group_1,trip,
2023-12-14,hotel dinner nagarkot,1390,hotel,trip_group,trip_group_3,trip,
2023-12-14,Saree for mummy - online,12950,shopping,working_bachelor,working_bachelor_1,roommates,
2023-12-14,Worldlink internet 3 months,1450,utilities,working_bachelor,working_bachelor_2,roommates,
2023-12-15,Rent Poush,18900,rent,family,family_1,family,
2023-12-15,College bus fee,2550,transport,student_home,student_home_1,college,
2023-12-15,wifi bill,970,utilities,student_hostel,student_hostel_1,roommates,
2023-12-15,Tarkari kinne,360,food,student_hostel,student_hostel_1,roommates,
2023-12-15,Gift for Mina,1980,shopping,student_hostel,student_hostel_1,roommates,
2023-12-15,Newari khaja set team khaja,490,food,student_hostel,student_hostel_2,roommates,
2023-12-15,NEA bijuli bill Poush paid by Khalti,1520,utilities,student_hostel,student_hostel_3,roommates,
2023-12-15,Hostel dorm bed - 2 rooms,1090,hotel,trip_group,trip_group_1,trip,
2023-12-15,repair work,340,other,trip_group,trip_group_1,trip,
2023-12-15,Electricity bill,2050,utilities,working_bachelor,working_bachelor_2,roommates,
2023-12-16,Jeep to Ilam,1420,transport,family,family_1,family,
2023-12-16,night bus tickets,1210,transport,family,family_2,family,
2023-12-16,Khanepani bill,680,utilities,family,family_3,family,
2023-12-16,Ncell combo 399 due date,320,utilities,student_home,student_home_1,college,
2023-12-16,Cafe bill Balkhu,1460,food,student_home,student_home_1,college,
2023-12-16,Chicken 1 kg,650,food,student_home,student_home_2,college,
2023-12-16,PAID FOR GROUP,2200,transport,student_hostel,student_hostel_2,roommates,
2023-12-16,ntc data pack,480,utilities,student_hostel,student_hostel_3,roommates,
2023-12-16,Aalu pyaj golbheda,420,food,trip_group,trip_group_2,trip,
2023-12-16,Birthday cake - extra chutney,1220,food,working_bachelor,working_bachelor_1,roommates,
2023-12-16,Insurance premium urgent,9550,other,working_bachelor,working_bachelor_2,roommates,
2023-12-16,DAL BHAT AT BAKERY CAFE,530,food,working_bachelor,working_bachelor_2,roommates,
2023-12-16,Snacks during movie - half plate,1200,food,working_bachelor,working_bachelor_3,roommates,
2023-12-17,Hotel dinner Sarangkot after class,2200,food,family,family_1,family,
2023-12-17,Futsal booking,1670,entertainment,family,family_2,family,
2023-12-17,Sekuwa and chiura,850,food,student_home,student_home_3,college,
2023-12-17,New shoes,7400,shopping,student_hostel,student_hostel_1,roommates,
2023-12-17,Night bus tickets - shared,1700,transport,trip_group,trip_group_1,trip,
2023-12-17,Milk and eggs,450,food,working_bachelor,working_bachelor_1,roommates,
2023-12-17,Bus fare Thamel to Kirtipur,65,transport,working_bachelor,working_bachelor_2,roommates,
2023-12-17,Bus,190,transport,working_bachelor,working_bachelor_2,roommates,
2023-12-17,Medicine from pharmacy,500,other,working_bachelor,working_bachelor_3,roommates,
2023-12-18,Khaja,170,food,family,family_1,family,
2023-12-18,Night bus tickets,1780,transport,family,family_2,family,
2023-12-18,Rent Poush paid to landlord,34900,rent,family,family_3,family,
2023-12-18,Concert ticket with friends,4150,entertainment,family,family_3,family,
2023-12-18,headphones - sale price,8000,shopping,student_home,student_home_2,college,
2023-12-18,Tuition fee monthly 6th sem,7650,education,student_home,student_home_3,college,
2023-12-18,movie tickets for 4,2150,entertainment,working_bachelor,working_bachelor_3,roommates,
2023-12-19,School fee for dai final year,13000,education,family,family_1,family,
2023-12-19,School fee for Ram late fee included,5950,education,family,family_2,family,
2023-12-19,ROOM RENT AND WIFI TOGETHER,8550,rent,family,family_2,family,
2023-12-19,Photocopy of notes,380,education,student_home,student_home_1,college,
2023-12-19,Snacks during movie for 8 people,300,food,student_home,student_home_1,college,
2023-12-19,admission fee instalment - late fee included,131500,education,student_hostel,student_hostel_1,roommates,
2023-12-19,jeep to bandipur,2600,transport,trip_group,trip_group_3,trip,
2023-12-19,LPG refill,3550,utilities,working_bachelor,working_bachelor_2,roommates,
2023-12-19,tourist bus kathmandu to pokhara,1990,transport,working_bachelor,working_bachelor_2,roommates,
2023-12-19,Gas cylinder,3350,shopping,working_bachelor,working_bachelor_3,roommates,
2023-12-20,Rent Poush shared 2 ways,34400,rent,family,family_2,family,
2023-12-20,headphones - with cashback,2500,shopping,family,family_2,family,
2023-12-20,Pool and snooker,330,entertainment,family,family_2,family,
2023-12-20,Momo at Newari khaja ghar,340,food,student_home,student_home_1,college,
2023-12-20,Hotel dnner Sarangkot,1960,hotel,student_home,student_home_3,college,
2023-12-20,Waste management fee,420,utilities,student_home,student_home_3,college,
2023-12-20,Room rent Poush advance,5050,rent,student_hostel,student_hostel_1,roommates,
2023-12-20,Haircut,1160,other,student_hostel,student_hostel_1,roommates,
2023-12-20,Grocery Daraz ve,2000,food,student_hostel,student_hostel_3,roommates,
2023-12-20,Headphones,6100,shopping,student_hostel,student_hostel_3,roommates,
2023-12-20,Deluxe bus ticket to Bandipur,1580,transport,trip_group,trip_group_1,trip,
2023-12-20,Tourist bus Kathmandu to Pokhara,1470,transport,trip_group,trip_group_2,trip,
2023-12-21,dashain shopping,7150,shopping,family,family_1,family,
2023-12-21,Deluxe bus ticket to Pokhara,1490,transport,family,family_1,family,
2023-12-21,Cafe bill Thamel,920,food,family,family_2,family,
2023-12-21,Exam form fee,4850,education,student_home,student_home_2,college,
2023-12-21,Samosa chiya Maharajgunj with Anisha,90,food,student_home,student_home_3,college,
2023-12-21,aalu pyaj golbheda,510,food,student_hostel,student_hostel_1,roommates,
2023-12-21,Night bus tickets,2650,transport,student_hostel,student_hostel_2,roommates,
2023-12-21,Futsal booking for 2 people,1390,entertainment,student_hostel,student_hostel_2,roommates,
2023-12-21,Tarkari kinne,320,food,student_hostel,student_hostel_2,roommates,
2023-12-21,Swimming pool entry - group booking,1010,entertainment,trip_group,trip_group_2,trip,
2023-12-21,Milk and eggs team khaja,180,food,working_bachelor,working_bachelor_1,roommates,
2023-12-21,Sekuwa and chiura half plate,1130,food,working_bachelor,working_bachelor_2,roommates,
2023-12-21,Worldlink internet 3 months - last month,1760,utilities,working_bachelor,working_bachelor_3,roommates,
2023-12-21,Python course subscription 4th sem,3950,education,working_bachelor,working_bachelor_3,roommates,
2023-12-21,Dashain shopping,7150,shopping,working_bachelor,working_bachelor_3,roommates,
2023-12-22,Hotel check out bill,11700,hotel,family,family_1,family,
2023-12-22,pathao ride,250,transport,family,family_2,family,
2023-12-22,Petrol,1730,transport,family,family_2,family,
2023-12-22,NEA bijuli bill Poush due date,2600,utilities,family,family_2,family,
2023-12-22,Christmas cake and dinner veg,3400,food,student_home,student_home_1,college,christmas
2023-12-22,College bus fee to college,1240,transport,student_home,student_home_2,college,
2023-12-22,BUNGEE JUMP EVENING SHOW,8050,entertainment,student_home,student_home_2,college,
2023-12-22,Pathao ride late night,200,transport,student_home,student_home_2,college,
2023-12-22,Christmas gifts EMI,2000,shopping,student_home,student_home_2,college,christmas
2023-12-22,Ncell combo 399 - paid via eSewa,1110,utilities,student_home,student_home_3,college,
2023-12-22,Petrol 5 litre,930,transport,student_home,student_home_3,college,
2023-12-22,Petrol 5 litre - with Hari,1000,transport,student_home,student_home_3,college,
2023-12-22,Christmas party in Thamel for 2 people,1320,entertainment,student_home,student_home_3,college,christmas
2023-12-22,CHRISTMAS PARTY IN THAMEL,3300,entertainment,student_home,student_home_3,college,christmas
2023-12-22,Newari khaja set Saturday,1040,food,student_hostel,student_hostel_1,roommates,
2023-12-22,Kitchen utensils for home,1890,shopping,student_hostel,student_hostel_1,roommates,
2023-12-22,Christmas party in Thamel,3750,entertainment,student_hostel,student_hostel_2,roommates,christmas
2023-12-22,Room rent Poush,6850,rent,student_hostel,student_hostel_3,roommates,
2023-12-22,Christmas gifts,5450,shopping,student_hostel,student_hostel_3,roommates,christmas
2023-12-22,Guest house Dhulikhel,4200,hotel,trip_group,trip_group_1,trip,
2023-12-22,Thakali khana set Bouddha,370,food,trip_group,trip_group_2,trip,
2023-12-22,Chowmein and coke,300,food,working_bachelor,working_bachelor_2,roommates,
2023-12-22,Pathao ride return,340,transport,working_bachelor,working_bachelor_3,roommates,
2023-12-23,Boating Phewa lake,1210,entertainment,family,family_1,family,
2023-12-23,khanepani bill,990,utilities,family,family_2,family,
2023-12-23,wifi bill,1070,utilities,family,family_2,family,
2023-12-23,Monthly grocery,7550,food,family,family_2,family,
2023-12-23,Samosa chiya Chabahil,130,food,family,family_2,family,
2023-12-23,Christmas gifts,7000,shopping,student_home,student_home_2,college,christmas
2023-12-23,Christmas gifts,6850,shopping,student_home,student_home_2,college,christmas
2023-12-23,Christmas cake and dinner,2400,food,student_hostel,student_hostel_1,roommates,christmas
2023-12-23,MILK AND EGGS,560,food,student_hostel,student_hostel_3,roommates,
2023-12-23,Electricity bill advance,1440,utilities,working_bachelor,working_bachelor_1,roommates,
2023-12-23,Christmas party in Thamel - evening show,3350,entertainment,working_bachelor,working_bachelor_2,roommates,christmas
2023-12-23,Christmas gifts,4750,shopping,working_bachelor,working_bachelor_3,roommates,christmas
2023-12-24,Bus fare Satdobato to Patan,35,transport,family,family_1,family,
2023-12-24,Christmas cake and dinner - takeaway,5000,food,student_home,student_home_1,college,christmas
2023-12-24,Taxi Satdobato to Lagankhel,400,transport,student_home,student_home_2,college,
2023-12-24,Repair work,1780,other,student_home,student_home_2,college,
2023-12-24,christmas cake and dinner,4400,food,student_home,student_home_2,college,christmas
2023-12-24,Birthday cake for Anisha,1830,food,student_home,student_home_2,college,birthday
2023-12-24,Birthday cake for Anisha Saturday,1490,food,student_home,student_home_2,college,birthday
2023-12-24,Birthday gift for Sita,3700,shopping,student_home,student_home_2,college,birthday
2023-12-24,Bike repair puncture shared,610,transport,student_home,student_home_3,college,
2023-12-24,canteen lunch a college half plate,350,food,student_hostel,student_hostel_1,roommates,
2023-12-24,Christmas gifts sale price,5150,shopping,student_hostel,student_hostel_2,roommates,christmas
2023-12-24,Christmas party in Thamel - with friends,3800,entertainment,student_hostel,student_hostel_2,roommates,christmas
2023-12-24,Bus fare Jhamsikhel to Chabahil airport drop,30,transport,trip_group,trip_group_3,trip,
2023-12-24,haircut reimburse later,850,other,working_bachelor,working_bachelor_1,roommates,
2023-12-24,Deluxe bus ticket to Sarangkot Ring Road,1140,transport,working_bachelor,working_bachelor_1,roommates,
2023-12-24,Christmas party in Thamel - evening show,3750,entertainment,working_bachelor,working_bachelor_1,roommates,christmas
2023-12-24,Dashain shopping,7800,shopping,working_bachelor,working_bachelor_3,roommates,
2023-12-25,InDrive to Kirtipur,350,transport,student_home,student_home_2,college,
2023-12-25,Christmas gifts for home,6650,shopping,student_home,student_home_3,college,christmas
2023-12-25,Newari khaja set,480,food,student_hostel,student_hostel_2,roommates,
2023-12-25,Christmas cake and dinner - after class,2750,food,student_hostel,student_hostel_3,roommates,christmas
2023-12-25,Futsa booking - weekend,1410,entertainment,working_bachelor,working_bachelor_1,roommates,
2023-12-25,Khaja after class,140,food,working_bachelor,working_bachelor_1,roommates,
2023-12-25,Christmas cake and dinner,5300,food,working_bachelor,working_bachelor_1,roommates,christmas
2023-12-25,Christmas cake and dinner office lunch,2450,food,working_bachelor,working_bachelor_2,roommates,christmas
2023-12-25,Electricity bill,1290,utilities,working_bachelor,working_bachelor_3,roommates,
2023-12-26,Vegetables from Kalimati,680,food,family,family_1,family,
2023-12-26,Yomari ingredients,410,food,family,family_2,family,yomari
2023-12-26,YOMARI INGREDIENTS - HALF PLATE,660,food,family,family_2,family,yomari
2023-12-26,Monthly bill paid - paid to landlord,2350,rent,family,family_3,family,
2023-12-26,Deluxe bus ticket t Nagarkot return,1860,transport,student_home,student_home_1,college,
2023-12-26,Yomari from Newari khaja ghar office lunch,1080,food,student_home,student_home_1,college,yomari
2023-12-26,Yomari from Newari khaja ghar office lunch,1140,food,student_home,student_home_1,college,yomari
2023-12-26,Momo at college canteen - team khaja,170,food,student_home,student_home_3,college,
2023-12-26,NTC data pack,460,utilities,student_hostel,student_hostel_1,roommates,
2023-12-26,Wifi bill - shared 3 ways,1440,utilities,student_hostel,student_hostel_2,roommates,
2023-12-26,Pool and snooker evening show,630,entertainment,working_bachelor,working_bachelor_1,roommates,
2023-12-26,dal bhat at trisara half plate,450,food,working_bachelor,working_bachelor_2,roommates,
2023-12-27,Milk and eggs takeaway,320,food,family,family_2,family,
2023-12-27,Chicken momo plate - takeaway,130,food,family,family_2,family,
2023-12-27,Hotel dinner Bandipur - extra chutney,1930,food,family,family_3,family,
2023-12-27,Milk and eggs extra chutney,370,food,student_home,student_home_2,college,
2023-12-27,Insurance premium,2150,other,student_home,student_home_2,college,
2023-12-27,temple donation - urgent,640,other,student_home,student_home_3,college,
2023-12-27,Cab to airport with luggage with Bikash,790,transport,student_home,student_home_3,college,
2023-12-27,NEA bijuli bill Poush shared 3 way,1180,utilities,student_hostel,student_hostel_2,roommates,
2023-12-27,Bike repair puncture,150,transport,trip_group,trip_group_3,trip,
2023-12-27,Bus ticket and khaja on the way,340,food,working_bachelor,working_bachelor_1,roommates,
2023-12-28,Petrol 5 litre,1160,transport,family,family_1,family,
2023-12-28,phone cover and screen guard,400,shopping,family,family_2,family,
2023-12-28,Python course subscription 6th sem,3050,education,family,family_2,family,
2023-12-28,Chicken momo plate Saturday,230,food,student_home,student_home_2,college,
2023-12-28,NEA bijuli bill Poush - Poush,1440,utilities,student_hostel,student_hostel_1,roommates,
2023-12-28,Water jar,120,food,student_hostel,student_hostel_1,roommates,
2023-12-28,Book shopping,960,education,student_hostel,student_hostel_1,roommates,
2023-12-28,Tarkari kinne office lunch,1250,food,student_hostel,student_hostel_3,roommates,
2023-12-28,Petrol 5 litre to office,680,transport,trip_group,trip_group_3,trip,
2023-12-28,chicken momo plate,230,food,working_bachelor,working_bachelor_3,roommates,
2023-12-28,paid for group,1240,other,working_bachelor,working_bachelor_3,roommates,
2023-12-29,Scooter servicing,2100,transport,family,family_2,family,
2023-12-29,Concert ticket,1630,entertainment,family,family_2,family,
2023-12-29,tuition fee monthly 6th sem,5800,education,student_home,student_home_1,college,
2023-12-29,Bus fare Maharajgunj to Patan shared,60,transport,student_home,student_home_2,college,
2023-12-29,New clothes for Tamu Lhosar,9700,shopping,student_home,student_home_2,college,tamu_lhosar
2023-12-29,Dashain shopping veg,10050,food,student_hostel,student_hostel_3,roommates,
2023-12-30,Insurance premium urgent,6850,other,family,family_1,family,
2023-12-30,Sekuwa and chiura,470,food,student_home,student_home_3,college,
2023-12-30,Bike repair puncture,660,transport,student_home,student_home_3,college,
2023-12-30,College canteen chiya,40,food,student_hostel,student_hostel_2,roommates,
2023-12-30,BUS FARE KIRTIPUR TO BANESHWOR,25,transport,trip_group,trip_group_3,trip,
2023-12-30,chitwan jungle safari - with friends,8400,entertainment,working_bachelor,working_bachelor_3,roommates,
2023-12-31,Electricity bill,1650,utilities,family,family_1,family,
2023-12-31,Countdown dinner extra chutney,4100,food,student_home,student_home_1,college,new_years_eve
2023-12-31,New Year's Eve party,3850,entertainment,student_home,student_home_1,college,new_years_eve
2023-12-31,Khaja - evening,210,food,student_home,student_home_2,college,
2023-12-31,Tamu Lhosar program at Tundikhel,1080,entertainment,student_home,student_home_2,college,tamu_lhosar
2023-12-31,Tamu Lhosar feast,3250,food,student_home,student_home_2,college,tamu_lhosar
2023-12-31,Tamu Lhosar feast,3600,food,student_home,student_home_2,college,tamu_lhosar
2023-12-31,New Year's Eve party,1920,entertainment,student_home,student_home_2,college,new_years_eve
2023-12-31,College canteen chiya,110,food,student_home,student_home_3,college,
2023-12-31,New Year's Eve party,2850,entertainment,student_home,student_home_3,college,new_years_eve
2023-12-31,Countdown dinner,1680,food,student_home,student_home_3,college,new_years_eve
2023-12-31,Countdown dinner,5950,food,student_hostel,student_hostel_1,roommates,new_years_eve
2023-12-31,Aalu pyaj golbheda - Saturday,590,food,student_hostel,student_hostel_2,roommates,
2023-12-31,hotel check out bill,6350,hotel,student_hostel,student_hostel_2,roommates,
2023-12-31,New Year's Eve party,4850,entertainment,student_hostel,student_hostel_2,roommates,new_years_eve
2023-12-31,New Year's Eve party,4800,entertainment,student_hostel,student_hostel_2,roommates,new_years_eve
2023-12-31,New Year's Eve party evening show,3950,entertainment,student_hostel,student_hostel_3,roommates,new_years_eve
2023-12-31,countdown dinner office lunch,2400,food,student_hostel,student_hostel_3,roommates,new_years_eve
2023-12-31,HOTEL BILL WITH BREAKFAST,5800,hotel,trip_group,trip_group_1,trip,
2023-12-31,Night bus tickets,1300,transport,trip_group,trip_group_2,trip,
2023-12-31,Zipline Ilam weekend,3750,entertainment,working_bachelor,working_bachelor_1,roommates,
2023-12-31,Countdown dinner,2550,food,working_bachelor,working_bachelor_1,roommates,new_years_eve
2023-12-31,Countdown dinner,2350,food,working_bachelor,working_bachelor_1,roommates,new_years_eve
2023-12-31,New Year's Eve party,6450,entertainment,working_bachelor,working_bachelor_2,roommates,new_years_eve
2023-12-31,New Year's Eve party for 2 people,6550,entertainment,working_bachelor,working_bachelor_2,roommates,new_years_eve
2023-12-31,Breakfast takeaway,790,food,working_bachelor,working_bachelor_3,roommates,
2023-12-31,New Year's Eve party - with friends,3050,entertainment,working_bachelor,working_bachelor_3,roommates,new_years_eve
2024-01-01,Tihar shopping KL Tower,7350,shopping,family,family_1,family,
2024-01-01,Stationery and printing EMI,490,shopping,family,family_2,family,
2024-01-01,Dish home recharge,410,utilities,family,family_2,family,
2024-01-01,Bus fare Maharajgunj to Baneshwor late night,40,transport,family,family_3,family,
2024-01-01,Momo at Everest Momo Center Saturday,410,food,student_hostel,student_hostel_3,roommates,
2024-01-01,Taxi Maharajgunj to Baneshwor,720,transport,trip_group,trip_group_2,trip,
2024-01-01,Guest house Ilam for 7 people,1700,hotel,trip_group,trip_group_3,trip,
2024-01-01,Monthly grocery,7550,food,trip_group,trip_group_3,trip,
2024-01-01,buff momo satdobato - team khaja,95,food,working_bachelor,working_bachelor_1,roommates,
2024-01-01,Cafe bill Thamel extra hutney,520,food,working_bachelor,working_bachelor_2,roommates,
2024-01-02,Deluxe bus ticket to Lumbini - to office,1550,transport,family,family_1,family,
2024-01-02,Tuition fee monthly,4650,education,student_home,student_home_1,college,
2024-01-02,Tuitin fee monthly late fee included,4750,education,student_home,student_home_2,college,
2024-01-02,Micro to Bouddha,45,transport,student_home,student_home_2,college,
2024-01-02,SWIMMING POOL ENTRY,1150,entertainment,student_hostel,student_hostel_1,roommates,
2024-01-02,Tarkari kinne takeaway,800,food,student_hostel,student_hostel_1,roommates,
2024-01-02,Kitchen utensils,1890,shopping,student_hostel,student_hostel_2,roommates,
2024-01-02,Bike petrol Magh one way,1740,transport,student_hostel,student_hostel_2,roommates,
2024-01-02,Newari khaja set after class,670,food,working_bachelor,working_bachelor_3,roommates,
2024-01-02,Miscellaneos,1110,other,working_bachelor,working_bachelor_3,roommates,
2024-01-03,Milk and eggs,300,food,family,family_1,family,
2024-01-03,Bak charge,510,other,family,family_1,family,
2024-01-03,Monthly grocery,2750,food,family,family_2,family,
2024-01-03,Wifi bill,1510,utilities,family,family_3,family,
2024-01-03,Momo at local bhojanalaya- for 8 people,170,food,student_hostel,student_hostel_2,roommates,
2024-01-03,Dashain kurta shopping,4000,shopping,working_bachelor,working_bachelor_1,roommates,
2024-01-03,Chitwan jungle safari,5000,entertainment,working_bachelor,working_bachelor_1,roommates,
2024-01-03,Saree for mummy for home,10350,shopping,working_bachelor,working_bachelor_3,roommates,
2024-01-03,Stationery and printing - sale price,630,shopping,working_bachelor,working_bachelor_3,roommates,
2024-01-04,Paid for group,2950,food,family,family_3,family,
2024-01-04,Hotel dinner Lumbini for 3 people,960,food,student_home,student_home_1,college,
2024-01-04,Birthday cake,1110,food,student_home,student_home_3,college,
2024-01-04,room rent magh with water charge,7950,rent,student_hostel,student_hostel_2,roommates,
2024-01-04,Bungee jump,6600,entertainment,student_hostel,student_hostel_2,roommates,
2024-01-04,Flat rent Kalanki,13000,rent,working_bachelor,working_bachelor_1,roommates,
2024-01-04,flat rent patan,12650,rent,working_bachelor,working_bachelor_3,roommates,
2024-01-05,Tihar shopping Salesberry,9150,shopping,student_home,student_home_2,college,
2024-01-05,scooter servicing,3350,transport,student_home,student_home_2,college,
2024-01-05,NEW SHOES - WITH CASHBACK,4350,shopping,student_home,student_home_2,college,
2024-01-05,Grocery Daraz,2500,food,student_home,student_home_2,college,
2024-01-05,GIFT FOR ANISHA,5250,shopping,student_hostel,student_hostel_3,roommates,
2024-01-05,Newari khaja set,730,food,student_hostel,student_hostel_3,roommates,
2024-01-05,FLAT RENT KIRTIPUR,18650,rent,working_bachelor,working_bachelor_2,roommates,
2024-01-06,Night bus tickets one way,1960,transport,family,family_2,family,
2024-01-06,Momo at local bhojanalaya,330,food,family,family_3,family,
2024-01-06,monthly grocery,5450,food,student_hostel,student_hostel_2,roommates,
2024-01-06,Taxi Lagankhel to Satdobato late night,570,transport,student_hostel,student_hostel_2,roommates,
2024-01-06,Bank charge,370,other,student_hostel,student_hostel_3,roommates,
2024-01-06,Hotel ill with breakfast,8350,hotel,student_hostel,student_hostel_3,roommates,
2024-01-06,Spotify family with friends,390,entertainment,trip_group,trip_group_1,trip,
